SMILES,T2_score,SPE_score,flag_T2_ge_empirical_99pct,flag_SPE_ge_empirical_99pct,flag_pca_outlier_empirical,pIC50,flag_reason
Cc1ccc(cc1)c2nnc(S)n2\N=C\C=C/c3ccccc3[N+](=O)[O-],1908.3217474058329,233.44489852939085,True,False,True,5.1356900937109,T2_only
CC[C@H](C)[C@@H]1NC(=O)[C@@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)[C@@H](N)CCCCN,1394.3284806468994,1453.974704256745,True,True,True,6.12551818230053,T2_and_SPE
CCOP(=O)(OCC)C1(NS(=O)(=O)c2ccccc2)C=C(Br)C(=O)c3ccccc13,870.1681992949343,525.2311133892563,True,False,True,5.06106469179672,T2_only
CCOP(=O)(OCC)C1(NS(=O)(=O)c2ccccc2)C=C(Cl)C(=O)c3ccccc13,776.2305010715075,658.2904329631871,True,True,True,4.90000738654018,T2_and_SPE
CCCCCCCCOC(=O)c1cc(I)c(O)c(I)c1,739.7365450192902,254.97889513145924,True,False,True,4.87942606879415,T2_only
CCCCOC(=O)c1cc(I)c(O)c(I)c1,694.0557617114325,377.7867348928613,True,False,True,4.46092390120722,T2_only
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCC[N+](C)(C)C)cc3)c4ccc(O)cc14,595.3803444420017,5420.746847790499,True,True,True,7.0,T2_and_SPE
CCCCOC(=O)c1ccc(O)c(I)c1,228.22658886707427,460.3054525363177,True,False,True,5.09799710864927,T2_only
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)NC(CC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N,204.91310727428584,527.3717755211366,True,False,True,6.20760831050175,T2_only
CC[C@H](C)[C@@H]1NC(=O)[C@@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N)NC(=O)[C@@H](N)CCCNC(=N)N,193.88545353211384,519.5986220935795,True,False,True,7.88605664769316,T2_only
CC[C@H](C)[C@@H]1NC(=O)[C@@H](C\C=C/C[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N)NC(=O)[C@@H](N)CCCNC(=N)N,192.35123035675994,496.3567915310148,True,False,True,6.95860731484177,T2_only
CC[C@H](C)[C@@H]1NC(=O)[C@@H](C\C=C\C[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N)NC(=O)[C@@H](N)CCCNC(=N)N,192.35123035675994,496.3567915310148,True,False,True,6.4089353929735,T2_only
Oc1ccc2C(=C(CCCc2c1F)c3ccc(OC(F)F)cc3F)c4ccc(O[C@H]5CCN(CCCF)C5)cc4,169.60530392591804,241.63186344581277,True,False,True,9.69897000433602,T2_only
OCC1=Nc2cc3CCC(N(CC#C)c4ccc(cc4)C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)c3cc2C(=O)N1,169.47477119730308,488.437407736519,True,False,True,9.0,T2_only
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,167.73592469392653,309.15523455020775,True,False,True,5.66523270493382,T2_only
CC(=N)\C(=C(\O)/CSc1oc(nn1)c2ccc(OC(F)F)cc2)\C#N,163.44708564621763,529.0183071949577,True,False,True,4.33184340659711,T2_only
C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,162.89849315147993,5504.209555465798,True,True,True,8.22184874961636,T2_and_SPE
CC[C@H](C)[C@H](NC(=O)C(CC)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)NC(CC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N,162.00709714559923,466.82912101064824,True,False,True,6.17392519729917,T2_only
CC[C@H](C)[C@@H]1NC(=O)[C@@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N)NC(=O)[C@@H](N)CCCCN,160.55833895940938,589.9144063913623,True,True,True,7.45593195564972,T2_and_SPE
CN(C[C@@H]1C[C@@H]1c2ccccc2)c3nc(NCCc4ccc(O)cc4)nc(n3)N5CCNCC5,157.33360688379724,219.2434263062349,True,False,True,6.24795155218056,T2_only
CC1=C(SCCC#N)S\C(=C\2/SC(=C(SCCC#N)S2)C)\S1,141.74539743372557,830.4550321259869,False,True,True,5.29203913465215,SPE_only
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6(CCC6)C5)cc4,108.24283770016797,852.1392161923825,False,True,True,9.39794000867204,SPE_only
CCOC(=O)CSC1=NN(C)C(=S)S1,86.97757315923579,692.9088281737806,False,True,True,5.09782027033806,SPE_only
CCC1=NN2C(=NC(=O)\C(=C\c3oc(SCc4occc4)cc3)\C2=N)S1,77.64574340222642,640.3430874626074,False,True,True,4.67752227355247,SPE_only
CC1(C)Cc2c(CO1)sc3c4nnnn4c5nnnn5c23,73.80861834367946,785.3978826836246,False,True,True,5.38589408904197,SPE_only
NC(=O)c1c2CCCCCCc2sc1NC(=O)c3cccs3,56.983980255372074,632.1775374167761,False,True,True,4.58732160395108,SPE_only
Fc1ccc(CNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(Cc5cccnc5)C2=N)cc1,55.60746353391049,751.9685958863304,False,True,True,5.152559376579,SPE_only
CCCCCCCCOC(=O)c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-],43.42330739107213,829.4083283634129,False,True,True,4.21896306137887,SPE_only
[O-][N+](=O)c1ccc(Oc2cccc(\C=N\NC(=O)c3cncc(Br)c3)c2)c(c1)[N+](=O)[O-],37.436350011898284,833.7445663798369,False,True,True,4.55514143049076,SPE_only
[O-][N+](=O)c1cc(ccc1Cl)C(=O)NNC(=O)c2ccc(SCC3CCCO3)c(c2)[N+](=O)[O-],32.81246036875701,863.4299437687126,False,True,True,4.63253020809741,SPE_only
C[C@@H]1CCCCCCCc2cc(OC(=O)C)cc(OC(=O)C)c2C(=O)O1,25.90799908400824,2041.4885349985211,False,True,True,5.07779372256098,SPE_only
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6CC7CC(C6)CC5C7)cc4,19.609782339422544,885.3118103473921,False,True,True,9.22184874961636,SPE_only
CC(=O)c1cccc(NC(=O)CN2C(=O)NC3(CCCCCCC3)C2=O)c1,13.772073867270956,613.5249694801805,False,True,True,4.31701468642117,SPE_only
Oc1ccc2C3=C(CCCOc2c1)c4ccc(O)cc4OC3c5ccc(OCCN6CCCCC6)cc5,11.934023231609366,656.859849400613,False,True,True,7.63827216398241,SPE_only
Cc1c(c2ccc(O)cc2)n(Cc3ccc(OCCN4CCCCCCC4)cc3)c5ccc(O)cc15,11.357805591138405,531.5302269245356,False,True,True,7.52287874528034,SPE_only
CCCCC12CCC(=O)C(=C1c3ccc(O)cc3C2)I,149.3159215893863,285.9736382742968,False,False,False,6.90657831483776,not_flagged
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6CC6C5)cc4,144.18973433105532,152.99299827362523,False,False,False,9.15490195998574,not_flagged
Oc1ccc2nc(cc(C#C)c2c1)c3cc(F)c(O)c(F)c3,140.90784363805489,93.17599289600315,False,False,False,5.31695296176115,not_flagged
FC(F)Oc1ccc(cc1)c2oc(SCC(=O)NC(=O)NCc3occc3)nn2,138.20064736417092,159.4204652313612,False,False,False,4.93569741116747,not_flagged
CC1=CC2=CC[C@H]3[C@@H]4CC[C@@](O)(C#C)[C@@]4(C)CC[C@@H]3[C@]2(CC1)C=C,138.15841897346252,71.39154405343868,False,False,False,5.73282827159699,not_flagged
Oc1ccc2nc(cc(C#C)c2c1)c3ccc(O)c(F)c3,136.74024418811163,73.67248201498876,False,False,False,5.88306035344924,not_flagged
Oc1ccc2cc(cc(C#C)c2c1)c3ccc(O)c(F)c3,136.28255011862248,63.16430199915469,False,False,False,6.60730304674033,not_flagged
Oc1cc(C#C)c2cc(ccc2c1)c3ccc(O)c(F)c3,136.20278948241076,70.77976838115717,False,False,False,7.13667713987954,not_flagged
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C=C)C1CC[C@@]2(O)C#C,135.86530508047147,51.0965133429018,False,False,False,6.83268266525182,not_flagged
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C=C)[C@@H]1CC[C@@]2(O)C#C,135.86530508047147,51.0965133429018,False,False,False,6.82390874094432,not_flagged
BrC1=C2c3ccc4[nH]ncc4c3C[C@]2(CC5CC5)CCC1=O,132.32481242462322,173.24138616094518,False,False,False,6.63827216398241,not_flagged
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)C#C,131.72969463455385,117.01536370094475,False,False,False,6.31785492362617,not_flagged
Oc1ccc(cc1)c2cc(C#C)c3cc(O)ccc3n2,130.45308121386944,75.07488149478999,False,False,False,5.82390874094432,not_flagged
BrC1=C2c3ccc4[nH]ncc4c3C[C@]2(CCC5CC5)CCC1=O,128.7492060894258,172.81135647826235,False,False,False,6.64016451766011,not_flagged
C[C@]12Cc3cnoc3C=C1CC[C@@H]4[C@@H]2CC[C@@]5(C)[C@H]4CC[C@@]5(O)C#C,128.69264723278965,146.15829858805773,False,False,False,4.74982405191608,not_flagged
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC[C@@H]6C[C@H]56)cc4,125.80323052192242,132.51092528079656,False,False,False,9.30102999566398,not_flagged
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC[C@H]6C[C@@H]56)cc4,125.80323052192242,132.51092528079653,False,False,False,9.22184874961636,not_flagged
NC(=N)N\N=C\C1=C(Cl)c2ccccc2CCC1,124.461507874565,410.68520842103356,False,False,False,4.79588001734407,not_flagged
OC(=O)CCc1cc(Br)c(OCc2cccc(Br)c2)c(Br)c1,119.14983300673836,389.99975156342424,False,False,False,4.53760200210104,not_flagged
C[C@@H]1CC2=C(CCC(=O)C2)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@H]13,118.22021770775953,106.12573039221967,False,False,False,6.36321131096562,not_flagged
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,118.16508886113189,67.775345746462,False,False,False,6.09258863922541,not_flagged
NC(=N)N\N=C\C1=C(Cl)c2ccccc2CC1,117.18458783885436,418.74866308813034,False,False,False,5.25963731050576,not_flagged
CC1(N(CCc2cc(O)ccc12)c3ccc(CC4CC4)cc3)c5ccc(\C=C\C(=O)O)cc5,116.98250931921575,171.63578957795158,False,False,False,8.18708664335714,not_flagged
COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1,116.420909327264,78.87504320722809,False,False,False,7.74472749489669,not_flagged
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,115.53962764252897,64.54783873451166,False,False,False,8.69897000433602,not_flagged
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34CC#C)C1CC[C@@H]2O,113.53300341581192,85.68824998231555,False,False,False,5.33320131633383,not_flagged
Cn1ccnc1SCC(=O)Nc2ccc3nc(SCC(=O)NC4CC4)sc3c2,113.1680068954426,261.3828013482282,False,False,False,4.59048836367724,not_flagged
C\C(=C(\Cl)/c1ccccc1)\C=N\NC(=N)N,113.07957936276101,435.77089093336633,False,False,False,4.43179827593301,not_flagged
CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3C2(C(F)F)c4ccc(\C=C\C(=O)O)cc4,111.28158297045279,96.32661508762953,False,False,False,6.95860731484177,not_flagged
CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3[C@@]2(C(F)F)c4ccc(\C=C\C(=O)O)cc4,111.28158297045279,96.32661508762953,False,False,False,7.11350927482752,not_flagged
CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3[C@]2(C(F)F)c4ccc(\C=C\C(=O)O)cc4,111.28158297045279,96.32661508762953,False,False,False,4.42596873227228,not_flagged
Cc1cc(OC(F)(F)F)ccc1C2=C(Oc3ccc(\C=C\C(=O)O)cc3)c4ccc(cc4OC2=O)C(F)F,111.18960334386946,178.14591040559787,False,False,False,7.30102999566398,not_flagged
Oc1cccc(c1)N2CCc3cc(O)ccc3C2c4ccc(cc4)N5CCN(CC6CC6)CC5,111.05858287348929,196.11327233416708,False,False,False,6.91364016932525,not_flagged
C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C#C)C1CC[C@@H]2O,111.00036767727606,95.41557764954898,False,False,False,6.37161106994969,not_flagged
