,Y_PC1,Y_PC2,Y_PC3,Y_PC4,Y_PC5,Y_PC6,Y_PC7,Y_PC8,Y_PC9,Y_PC10
X_PC1,0.6893305843980138,0.3531645857774148,0.47705650493561186,0.11373833434177634,-0.12943512094022813,-0.07773745415289028,0.1449883088556038,0.030068298456224333,0.04367372034280273,0.06938276711851277
X_PC2,-0.49542489498357684,0.2949574668990667,0.10357492538009629,0.16146030102964629,-0.614836404590092,0.1483467993359929,0.23357408080200856,-0.05673076631978609,0.06886547581286358,0.12079708310218945
X_PC3,-0.2795961311955017,-0.5633819621015742,0.5923431321587005,0.13432363435715633,0.07460332105734216,-0.2776601316854013,0.12901760542862528,0.10589623823894889,0.10033804056244376,0.06582311863379879
X_PC4,-0.19157205241349126,0.35376106997452217,-0.050020033437652815,0.5361742894554572,0.23163111557211324,-0.29633107248874685,-0.08690029004600483,-0.13933614245995285,0.14435905552193262,-0.06608637634296409
X_PC5,-0.1549884530524327,0.1869353779458367,-0.022053702635716016,-0.27511757146800775,0.26466470441829903,-0.070670783434039,-0.028439284797130846,0.14173427955336787,-0.019879323391735412,-0.03368934998409977
X_PC6,0.03497063530540458,-0.05824158612667808,-0.013315454933773526,0.16733681560824748,0.047211542306178876,0.10547901982718408,-0.1756207269836666,-0.22600018762856502,-0.03992872131179256,0.08980262643283128
X_PC7,0.14523065763058,-0.1549426239404043,-0.16339019201268137,0.09731924643750327,-0.10589524650845085,0.00040061229910004915,-0.05055183681140445,-0.3001626688115331,0.1366740931609721,-0.12399565206816472
X_PC8,-0.04951976813539365,0.1880595149406384,0.09835795309634245,-0.12998990830097257,0.07000086992835927,0.004010972322267156,0.0011151634338099129,0.3374874397145683,0.42546868270534294,-0.21042196985197298
X_PC9,-0.0681543466141924,0.04056356429277784,0.10336335853714372,-0.05583106910049678,0.16351930445149143,-0.04310988763957521,-0.09405851549807863,-0.1606204045638965,0.08244329293441012,-0.022856972793022207
X_PC10,0.05655564953045456,-0.055225095564813906,-0.032212146188423316,0.020848184260337334,-0.029560355499072686,-0.02803911377243802,0.02438832955191949,-0.055830087689799274,-0.022462377856403794,-0.010378463964322083
