SMILES,dataset_name,n_components,y_true,y_pred_cv,residual_cv,pIC50,observed_pIC50,predicted_pIC50_cv,abs_residual_cv,standardised_residual_cv,robust_z_residual_cv,flag_large_cv_residual_top5pct,flag_large_cv_residual_z25,flag_large_cv_residual,prediction_direction
OCC1=Nc2cc3CCC(N(CC#C)c4ccc(cc4)C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)c3cc2C(=O)N1,primary_remove_constant_only,20,9.0,2.8287432622749167,6.171256737725083,9.0,9.0,2.8287432622749167,6.171256737725083,7.211472641900648,8.50375358492053,True,True,True,under_predicted
CC[C@H](C)[C@@H]1NC(=O)[C@@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)[C@@H](N)CCCCN,primary_remove_constant_only,20,6.12551818230053,11.428910724627276,-5.303392542326746,6.12551818230053,6.12551818230053,11.428910724627276,5.303392542326746,-6.197322823154436,-7.364654628536707,True,True,True,over_predicted
CCCCCCCCCCCCCCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,primary_remove_constant_only,20,4.0,8.49914989731473,-4.49914989731473,4.0,4.0,8.49914989731473,4.49914989731473,-5.257518488568943,-6.252459363805827,True,True,True,over_predicted
Cn1cc(NC(=O)c2cc(NC(=O)CCS(=O)(=O)C)cn2C)cc1C(=O)NCCCC(=O)NCCCCCC[C@@H]3Cc4cc(O)ccc4[C@H]5CC[C@]6(C)[C@@H](O)CC[C@H]6[C@H]35,primary_remove_constant_only,20,8.95467702121334,5.17159304522919,3.783083975984151,8.95467702121334,8.95467702121334,5.17159304522919,3.783083975984151,4.420753787157991,5.201125387521409,True,True,True,under_predicted
CCCCOC(=O)c1cc(I)c(O)c(I)c1,primary_remove_constant_only,20,4.46092390120722,1.2897107591977264,3.171213142009494,4.46092390120722,4.46092390120722,1.2897107591977264,3.171213142009494,3.7057471090835743,4.3549630403812865,True,True,True,under_predicted
CC(C)[C@]1(O)CC[C@@]2(C)[C@H](O)CCC(=C)[C@@H]2[C@H]1O,primary_remove_constant_only,20,2.55284196865778,5.631122855421085,-3.0782808867633045,2.55284196865778,2.55284196865778,5.631122855421085,3.0782808867633045,-3.597150360521616,-4.287525279373466,True,True,True,over_predicted
COc1cc(O)c(\C=C/C(C)(C)O)c2O[C@@H](CC(=O)c12)c3ccccc3,primary_remove_constant_only,20,2.45593195564972,5.434642400896941,-2.978710445247221,2.45593195564972,2.45593195564972,5.434642400896941,2.978710445247221,-3.4807965049858796,-4.149828311613573,True,True,True,over_predicted
COc1ccc(cc1)[C@H]2[C@H](C(O)c3ccc(O)cc3)C(=O)N2c4cc(OC)c(OC)c(OC)c4,primary_remove_constant_only,20,8.09691001300806,5.223508485642567,2.873401527365493,8.09691001300806,8.09691001300806,5.223508485642567,2.873401527365493,3.357736905859204,3.9431163550019424,True,True,True,under_predicted
CC(=CCc1c(O)c(O)cc([C@H]2CCc3ccc(O)cc3O2)c1CC=C(C)C)C,primary_remove_constant_only,20,3.82073553566097,6.630558098826016,-2.8098225631650458,3.82073553566097,3.82073553566097,6.630558098826016,2.8098225631650458,-3.283441186135036,-3.916271556214938,True,True,True,over_predicted
OC(=O)\C=C\c1ccc(CC2=C(C(=O)Oc3cc(F)ccc23)c4ccc(OC(F)(F)F)cc4)cc1,primary_remove_constant_only,20,5.23657200643706,8.041657344238091,-2.805085337801032,5.23657200643706,5.23657200643706,8.041657344238091,2.805085337801032,-3.277905462608535,-3.909720399483203,True,True,True,over_predicted
